O,D,Diff
722,979,-237
722,980,-135
722,982,-149
722,983,-168
722,984,-164
722,985,-587
723,728,-376
723,961,-643
723,962,-478
723,963,-478
723,964,-643
723,966,-559
723,969,-466
723,970,-197
723,971,-369
723,975,-155
723,985,-555
724,728,-835
724,961,-176
724,962,-338
724,963,-118
724,964,-109
724,966,-248
724,985,-101
725,728,-116
725,961,-314
725,962,-162
725,963,-214
725,964,-221
725,966,-330
725,969,-198
725,971,-164
725,985,-225
726,728,-935
726,961,-199
726,962,-302
726,963,-129
727,728,-183
728,961,-651
728,962,-1124
728,963,-370
728,964,-241
728,966,-212
729,730,-1442
729,731,-201
729,732,-136
729,733,-198
729,734,-272
729,735,-191
729,736,-453
729,737,-313
729,738,-674
729,739,-144
73,201,-124
73,202,-269
73,203,-130
73,204,-121
73,207,-103
73,210,-131
73,212,-114
73,215,-195
73,77,-112
73,78,-143
73,79,-163
730,731,-625
730,732,-638
730,733,-645
730,734,-1936
730,735,-563
730,736,-6266
730,737,-685
730,738,-997
730,739,-188
730,740,-102
731,732,-2183
731,736,-919
731,738,-131
732,733,-855
732,734,-966
732,735,-510
732,736,-954
732,737,-2612
732,738,-112
733,736,-955
733,738,-137
734,736,-2834
734,738,-233
735,736,-825
735,738,-117
736,737,-1118
736,738,-343
737,738,-217
738,739,-1444
738,740,-728
738,741,-263
738,743,-194
739,740,-5475
739,741,-6032
739,742,-501
739,743,-3041
739,744,-318
739,745,-406
739,746,-250
739,747,-140
739,749,-151
739,750,-150
739,751,-129
739,752,-177
739,753,-102
739,754,-115
739,755,-117
740,741,-626
740,743,-883
740,744,-115
741,742,-187
741,743,-7714
741,744,-993
741,745,-1002
741,746,-658
741,747,-302
741,749,-142
741,751,-247
741,752,-353
741,753,-136
741,754,-141
741,755,-173
741,756,-102
742,743,-234
742,744,-131
742,751,-175
743,744,-1462
743,745,-2091
743,746,-1540
743,747,-570
743,748,-174
743,749,-229
743,751,-425
743,752,-712
743,753,-216
743,754,-190
743,755,-258
743,756,-147
743,775,-128
744,745,-1763
744,746,-1269
744,747,-428
744,748,-116
744,749,-133
744,751,-322
744,752,-568
744,753,-176
744,754,-147
744,755,-209
744,756,-104
745,751,-1487
746,751,-883
747,751,-309
748,751,-159
749,751,-167
751,752,-2616
751,753,-538
751,754,-379
751,755,-427
751,756,-221
751,775,-179
77,108,-160
77,109,-166
77,110,-139
77,112,-132
77,113,-119
77,143,-144
77,146,-111
77,151,-121
77,164,-133
77,177,-103
77,179,-141
77,187,-119
77,201,-162
77,202,-165
77,203,-157
77,204,-123
77,206,-143
77,208,-103
77,210,-162
77,211,-132
77,212,-177
77,213,-109
77,214,-126
77,215,-254
77,218,-101
77,221,-121
77,223,-160
77,224,-111
77,225,-176
77,228,-113
77,229,-142
77,230,-195
77,232,-104
77,236,-197
77,238,-122
77,239,-128
77,248,-141
77,251,-101
77,257,-166
77,260,-142
77,261,-456
77,263,-169
77,265,-186
77,272,-121
77,273,-146
77,276,-140
77,284,-113
77,285,-115
77,291,-123
77,292,-106
77,295,-111
77,299,-102
77,301,-119
77,304,-116
77,305,-101
77,307,-115
77,308,-111
77,309,-106
77,312,-113
77,316,-131
77,317,-187
77,318,-154
77,320,-133
77,323,-138
77,324,-111
77,325,-129
77,326,-50
77,327,-157
77,328,-148
77,331,-142
77,332,-116
77,333,-119
77,334,-125
77,336,-111
77,341,-143
77,346,-133
77,348,-127
77,350,-115
77,352,-126
77,356,-142
77,357,-135
77,358,-103
77,362,-113
77,364,-194
77,366,-127
77,367,-172
77,368,-141
77,372,-117
77,373,-149
77,374,-158
77,375,-216
77,377,-124
77,378,-113
77,383,-114
77,385,-174
77,386,-122
77,389,-153
77,391,-118
77,392,-123
77,393,-104
77,398,-121
77,401,-117
77,403,-145
77,404,-101
77,406,-108
77,408,-113
77,409,-164
77,421,-190
77,422,-100
77,423,-138
77,424,-118
77,425,-173
77,426,-163
77,427,-162
77,430,-108
77,432,-101
77,439,-186
77,440,-118
77,441,-119
77,442,-114
77,443,-165
77,444,-128
77,449,-187
77,451,-119
77,452,-108
77,459,-131
77,460,-120
77,461,-145
77,464,-160
77,466,-116
77,467,-137
77,472,-137
77,473,-111
77,474,-109
77,476,-116
77,483,-107
77,484,-125
77,488,-108
77,489,-163
77,490,-126
77,491,-111
77,492,-104
77,495,-130
77,496,-115
77,497,-135
77,500,-110
77,502,-114
77,503,-184
77,505,-135
77,506,-105
77,509,-119
77,512,-122
77,513,-117
77,516,-152
77,519,-103
77,520,-150
77,521,-137
77,523,-136
77,526,-193
77,528,-101
77,535,-127
77,536,-132
77,537,-110
77,539,-116
77,542,-100
77,547,-121
77,549,-104
77,551,-127
77,554,-135
77,556,-111
77,557,-134
77,558,-163
77,560,-173
77,562,-102
77,566,-123
77,567,-125
77,569,-138
77,572,-170
77,573,-114
77,576,-132
77,577,-117
77,583,-102
77,585,-120
77,587,-116
77,588,-120
77,589,-131
77,591,-126
77,592,-105
77,594,-122
77,595,-102
77,597,-100
77,602,-223
77,605,-172
77,613,-128
77,619,-156
77,635,-157
77,638,-113
77,642,-109
77,648,-142
77,649,-138
77,670,-104
77,687,-104
77,693,-106
77,701,-112
77,703,-102
77,704,-151
77,706,-171
77,708,-155
77,709,-154
77,711,-118
77,713,-124
77,714,-133
77,717,-136
77,722,-110
77,723,-162
77,728,-110
77,736,-129
77,739,-129
77,740,-108
77,742,-122
77,743,-102
77,745,-116
77,746,-103
77,754,-101
77,758,-110
77,761,-113
77,773,-137
77,775,-143
77,78,-114
77,783,-143
77,786,-104
77,79,-122
77,791,-119
77,796,-136
77,807,-135
77,81,-107
77,813,-144
77,816,-199
77,819,-105
77,82,-102
77,821,-158
77,824,-104
77,825,-135
77,829,-156
77,83,-113
77,830,-124
77,833,-102
77,835,-116
77,84,-114
77,840,-125
77,842,-100
77,847,-105
77,855,-148
77,856,-121
77,859,-125
77,861,-160
77,862,-178
77,863,-240
77,864,-139
77,865,-190
77,867,-161
77,869,-215
77,87,-107
77,870,-130
77,871,-109
77,872,-125
77,874,-112
77,875,-117
77,876,-105
77,878,-142
77,88,-224
77,880,-107
77,883,-164
77,884,-113
77,89,-142
77,890,-122
77,891,-109
77,894,-122
77,899,-115
77,90,-131
77,903,-187
77,907,-103
77,91,-148
77,913,-133
77,914,-105
77,919,-135
77,92,-160
77,930,-127
77,932,-103
77,933,-131
77,938,-129
77,94,-215
77,941,-120
77,942,-118
77,946,-107
77,948,-107
77,949,-148
77,95,-440
77,951,-122
77,952,-127
77,954,-114
77,956,-161
77,96,-237
77,960,-133
77,961,-110
77,965,-132
77,966,-105
77,968,-103
77,97,-173
77,974,-101
77,979,-180
77,983,-157
77,985,-191
77,986,-146
78,201,-187
78,202,-510
78,203,-185
78,204,-110
78,209,-107
78,210,-191
78,211,-104
78,212,-113
78,214,-110
78,215,-244
78,79,-243
79,201,-280
79,202,-749
79,203,-340
79,204,-116
79,209,-289
79,210,-438
